Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
ANIMO JACKIE ROBINSON CHRT SCH54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,Adm,29,20,9,
ANIMO JACKIE ROBINSON CHRT SCH54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,Enr,21,14,7,
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,App,83,42,41,
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Adm,53,31,22,
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Enr,34,20,14,
ANIMO PAT BROWN CHARTER HS54238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,App,73,49,23,
ANIMO PAT BROWN CHARTER HS54238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,Adm,51,35,16,
ANIMO PAT BROWN CHARTER HS54238,ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,Enr,29,22,7,
ANIMO RALPH BUNCHE CHARTER HS54259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,App,42,23,19,
ANIMO RALPH BUNCHE CHARTER HS54259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,Adm,16,10,6,
ANIMO RALPH BUNCHE CHARTER HS54259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,Enr,7,3,4,
