Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
CHADWICK SCHOOL52680,CHADWICK SCHOOL,Palos Verdes Estate,Los Angeles,Adm,37,15,22,
CHADWICK SCHOOL52680,CHADWICK SCHOOL,Palos Verdes Estate,Los Angeles,Enr,9,4,5,
CHAMINADE COLLEGE PREPARATORY51565,CHAMINADE COLLEGE PREPARATORY,West Hills,Los Angeles,App,166,89,77,
CHAMINADE COLLEGE PREPARATORY51565,CHAMINADE COLLEGE PREPARATORY,West Hills,Los Angeles,Adm,96,50,46,
CHAMINADE COLLEGE PREPARATORY51565,CHAMINADE COLLEGE PREPARATORY,West Hills,Los Angeles,Enr,44,21,23,
CHRISTIAN BROTHERS HIGH SCHOOL52697,CHRISTIAN BROTHERS HIGH SCHOOL,Sacramento,Sacramento,App,102,52,49,
CHRISTIAN BROTHERS HIGH SCHOOL52697,CHRISTIAN BROTHERS HIGH SCHOOL,Sacramento,Sacramento,Adm,60,34,26,
CHRISTIAN BROTHERS HIGH SCHOOL52697,CHRISTIAN BROTHERS HIGH SCHOOL,Sacramento,Sacramento,Enr,37,20,17,
CHRISTIAN HIGH SCHOOL52836,CHRISTIAN HIGH SCHOOL,El Cajon,San Diego,App,24,10,14,
CHRISTIAN HIGH SCHOOL52836,CHRISTIAN HIGH SCHOOL,El Cajon,San Diego,Adm,14,7,7,
CHRISTIAN HIGH SCHOOL52836,CHRISTIAN HIGH SCHOOL,El Cajon,San Diego,Enr,5,,3,
CITY OF KNOWLEDGE52518,CITY OF KNOWLEDGE,Pomona,Los Angeles,App,15,11,,
CITY OF KNOWLEDGE52518,CITY OF KNOWLEDGE,Pomona,Los Angeles,Adm,13,10,3,
CITY OF KNOWLEDGE52518,CITY OF KNOWLEDGE,Pomona,Los Angeles,Enr,8,6,,
COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,App,66,32,31,
COLLEGE PREPARATORY SCHOOL52192,COLLEGE PREPARATORY SCHOOL,Oakland,Alameda,Adm,38,19,17,
