Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
CAMBRIDGE INTRNTL PREP SCHOOL52937,CAMBRIDGE INTRNTL PREP SCHOOL,San Francisco,San Francisco,Enr,4,,3,
CAMPBELL HALL52133,CAMPBELL HALL,Studio City,Los Angeles,App,67,33,33,
CAMPBELL HALL52133,CAMPBELL HALL,Studio City,Los Angeles,Adm,41,22,19,
CAMPBELL HALL52133,CAMPBELL HALL,Studio City,Los Angeles,Enr,17,9,8,
CANTWELL/SACRED HEART MARY HS52020,CANTWELL/SACRED HEART MARY HS,Montebello,Los Angeles,App,44,32,12,
CANTWELL/SACRED HEART MARY HS52020,CANTWELL/SACRED HEART MARY HS,Montebello,Los Angeles,Adm,23,18,5,
CANTWELL/SACRED HEART MARY HS52020,CANTWELL/SACRED HEART MARY HS,Montebello,Los Angeles,Enr,15,11,4,
CAPISTRANO VALLEY CHRSTN SCH53114,CAPISTRANO VALLEY CHRSTN SCH,San Juan Capistrano,Orange,App,11,6,5,
CAPISTRANO VALLEY CHRSTN SCH53114,CAPISTRANO VALLEY CHRSTN SCH,San Juan Capistrano,Orange,Adm,7,4,3,
CAPITAL CHRISTIAN HIGH SCHOOL52708,CAPITAL CHRISTIAN HIGH SCHOOL,Sacramento,Sacramento,App,17,9,7,
CAPITAL CHRISTIAN HIGH SCHOOL52708,CAPITAL CHRISTIAN HIGH SCHOOL,Sacramento,Sacramento,Adm,10,6,4,
CARDINAL NEWMAN HIGH SCHOOL53326,CARDINAL NEWMAN HIGH SCHOOL,Santa Rosa,Sonoma,App,50,28,22,
CARDINAL NEWMAN HIGH SCHOOL53326,CARDINAL NEWMAN HIGH SCHOOL,Santa Rosa,Sonoma,Adm,23,17,6,
CARDINAL NEWMAN HIGH SCHOOL53326,CARDINAL NEWMAN HIGH SCHOOL,Santa Rosa,Sonoma,Enr,9,6,3,
CARNEGIE SCHOOLS RIVERSIDE52671,CARNEGIE SCHOOLS RIVERSIDE,Riverside,Riverside,App,23,10,13,
CARNEGIE SCHOOLS RIVERSIDE52671,CARNEGIE SCHOOLS RIVERSIDE,Riverside,Riverside,Adm,12,6,6,
CARNEGIE SCHOOLS RIVERSIDE52671,CARNEGIE SCHOOLS RIVERSIDE,Riverside,Riverside,Enr,5,3,,
CARONDELET HIGH SCHOOL50656,CARONDELET HIGH SCHOOL,Concord,Contra Costa,App,84,82,,
CARONDELET HIGH SCHOOL50656,CARONDELET HIGH SCHOOL,Concord,Contra Costa,Adm,43,43,,
CARONDELET HIGH SCHOOL50656,CARONDELET HIGH SCHOOL,Concord,Contra Costa,Enr,18,18,,
CASTILLEJA SCHOOL52330,CASTILLEJA SCHOOL,Palo Alto,Santa Clara,App,43,43,,
CASTILLEJA SCHOOL52330,CASTILLEJA SCHOOL,Palo Alto,Santa Clara,Adm,35,35,,
CASTILLEJA SCHOOL52330,CASTILLEJA SCHOOL,Palo Alto,Santa Clara,Enr,4,4,,
CATE SCHOOL50485,CATE SCHOOL,Carpinteria,Santa Barbara,App,25,10,15,
CATE SCHOOL50485,CATE SCHOOL,Carpinteria,Santa Barbara,Adm,17,8,9,
CATHEDRAL CATHOLIC H S52896,CATHEDRAL CATHOLIC H S,San Diego,San Diego,App,164,91,69,
